id,name,old_price,new_price,old_quantity,new_quantity
f1_sp000036897,,NEW,,NEW,
f1_sp000036898,,NEW,,NEW,
f1_sp000036900,,NEW,,NEW,
f1_sp000036902,,NEW,,NEW,
f1_sp000036903,,NEW,,NEW,
f1_sp000036904,,NEW,,NEW,
f1_sp000036905,,NEW,,NEW,
f1_sp000036930,,NEW,,NEW,
f1_sp000036931,,NEW,,NEW,
f1_sp000037039,,NEW,,NEW,
f1_sp000037270,,NEW,,NEW,
f1_sp000037271,,NEW,,NEW,
f1_sp000037272,,NEW,,NEW,
f1_sp000037273,,NEW,,NEW,
f1_sp000037274,,NEW,,NEW,
f1_sp000037275,,NEW,,NEW,
f1_sp000037278,,NEW,,NEW,
f1_sp000037279,,NEW,,NEW,
f1_sp000037280,,NEW,,NEW,
f1_sp000037281,,NEW,,NEW,
f1_sp000037282,,NEW,,NEW,
f1_sp000037283,,NEW,,NEW,
f1_sp000037284,,NEW,,NEW,
f1_sp000037285,,NEW,,NEW,
f1_sp000037286,,NEW,,NEW,
f1_sp000037287,,NEW,,NEW,
f1_sp000037513,,NEW,,NEW,
f1_sp000037526,,NEW,,NEW,
f1_sp000037535,,NEW,,NEW,
f1_sp000037539,,NEW,,NEW,
f1_sp000037805,,NEW,,NEW,
f1_sp000037808,,NEW,,NEW,
f1_sp000037809,,NEW,,NEW,
f1_sp000037811,,NEW,,NEW,
f1_sp000037812,,NEW,,NEW,
f1_sp000038072,,NEW,,NEW,
f1_sp000038084,,NEW,,NEW,
f1_sp000038089,,NEW,,NEW,
f1_sp000038093,,NEW,,NEW,
f1_sp000038099,,NEW,,NEW,
f1_sp000038101,,NEW,,NEW,
f1_sp000038326,,NEW,,NEW,
f1_sp000038337,,NEW,,NEW,
f1_sp000038341,,NEW,,NEW,
f1_sp000038950,,NEW,,NEW,
f1_sp000038969,,NEW,,NEW,
f1_sp000038988,,NEW,,NEW,
f1_sp000038989,,NEW,,NEW,
f1_sp000039000,,NEW,,NEW,
f1_sp000039002,,NEW,,NEW,
f1_sp000039003,,NEW,,NEW,
f1_sp000039015,,NEW,,NEW,
f1_sp000039016,,NEW,,NEW,
f1_sp000039028,,NEW,,NEW,
f1_sp000039032,,NEW,,NEW,
f1_sp000039033,,NEW,,NEW,
f1_sp000039051,,NEW,,NEW,
f1_sp000039054,,NEW,,NEW,
f1_sp000039067,,NEW,,NEW,
f1_sp000039098,,NEW,,NEW,
f1_sp000039099,,NEW,,NEW,
f1_sp000039108,,NEW,,NEW,
f1_sp000039138,,NEW,,NEW,
f1_sp000039145,,NEW,,NEW,
f1_sp000039146,,NEW,,NEW,
f1_sp000039147,,NEW,,NEW,
f1_sp000039149,,NEW,,NEW,
f1_sp000039150,,NEW,,NEW,
f1_sp000039151,,NEW,,NEW,
f1_sp000039152,,NEW,,NEW,
f1_sp000039154,,NEW,,NEW,
f1_sp000039155,,NEW,,NEW,
f1_sp000039157,,NEW,,NEW,
f1_sp000039163,,NEW,,NEW,
f1_sp000039164,,NEW,,NEW,
f1_sp000039166,,NEW,,NEW,
f1_sp000039167,,NEW,,NEW,
f1_sp000039172,,NEW,,NEW,
f1_sp000039173,,NEW,,NEW,
f1_sp000039177,,NEW,,NEW,
f1_sp000039180,,NEW,,NEW,
f1_sp000039196,,NEW,,NEW,
f1_sp000039197,,NEW,,NEW,
f1_sp000039198,,NEW,,NEW,
f1_sp000039199,,NEW,,NEW,
f1_sp000039200,,NEW,,NEW,
f1_sp000039202,,NEW,,NEW,
f1_sp000039204,,NEW,,NEW,
f1_sp000039237,,NEW,,NEW,
f1_sp000039240,,NEW,,NEW,
f1_sp000039243,,NEW,,NEW,
f1_sp000039279,,NEW,,NEW,
f1_sp000039396,,NEW,,NEW,
f1_sp000039397,,NEW,,NEW,
f1_sp000039399,,NEW,,NEW,
f1_sp000039402,,NEW,,NEW,
f1_sp000039472,,NEW,,NEW,
f1_sp000039491,,NEW,,NEW,
